Province/State,Country/Region,January,February,March,April,May,June,July,August,September,October,November,December
,Afghanistan,0,1,175,2127,15208,31507,36665,38159,39268,41425,46274,51526
,Albania,0,0,243,773,1137,2535,5276,9513,13649,20875,38182,58316
,Algeria,0,1,716,4006,9394,13907,30394,44494,51530,57942,83199,99610
,Andorra,0,0,376,745,764,855,925,1176,2050,4756,6745,8049
,Angola,0,0,7,27,86,284,1148,2654,4972,10805,15139,17553
,Antigua and Barbuda,0,0,7,24,26,69,91,94,101,128,141,159
,Argentina,0,0,1054,4428,16851,64530,191302,417735,751001,1166924,1424533,1625514
,Armenia,0,0,532,2066,9282,25542,38550,43781,50359,89813,135124,159409
Australian Capital Territory,Australia,0,0,80,106,107,108,113,113,113,114,117,118
New South Wales,Australia,4,4,2032,3025,3098,3203,3773,4063,4227,4425,4582,4928
Northern Territory,Australia,0,0,17,28,29,29,33,33,33,38,53,75
Queensland,Australia,2,9,743,1033,1058,1067,1084,1124,1157,1172,1202,1253
South Australia,Australia,0,3,337,438,440,443,451,463,468,501,562,580
Tasmania,Australia,0,0,69,221,228,228,229,230,230,230,230,234
Victoria,Australia,3,7,917,1364,1653,2231,10931,19138,20183,20346,20345,20376
Western Australia,Australia,0,2,364,551,589,611,666,655,685,769,821,861
,Australia,9,25,4559,6766,7202,7920,17280,25819,27096,27595,27912,28425
,Austria,0,9,10180,15452,16731,17766,21130,27438,44813,104925,282456,360815
,Azerbaijan,0,0,298,1804,5494,17524,31878,36435,40229,55269,121176,218700
,Bahamas,0,0,14,81,102,104,574,2217,4123,6714,7541,7871
,Bahrain,0,41,567,3040,11398,26758,40982,51972,70864,81645,86956,92675
,Bangladesh,0,0,51,7667,47153,145483,237661,312996,363479,407684,464932,513510
,Barbados,0,0,34,81,92,97,110,174,190,237,276,383
,Belarus,0,1,152,14027,42556,62118,67808,71843,78631,98482,136647,194284
,Belgium,0,1,12775,48519,58381,61427,68751,85236,118452,429229,577345,646496
,Belize,0,0,3,18,18,24,48,1007,1992,3487,5854,10776
,Benin,0,0,9,64,232,1199,1805,2145,2357,2643,3015,3251
,Bhutan,0,0,4,7,43,77,101,225,282,349,410,670
,Bolivia,0,0,107,1167,9982,33219,76789,116598,135311,141757,144708,160124
,Bosnia and Herzegovina,0,0,420,1757,2510,4453,11876,19964,27469,50090,87901,110985
,Botswana,0,0,4,23,35,227,804,1633,3172,6642,10742,14805
,Brazil,0,2,5717,87187,514849,1402041,2662485,3908272,4810935,5535605,6335878,7675973
,Brunei,0,0,129,138,141,141,141,144,146,148,150,157
,Bulgaria,0,0,399,1506,2513,4989,11690,16266,20833,52844,145300,202266
,Burkina Faso,0,0,261,645,847,962,1106,1368,2056,2500,2886,6707
,Burma,0,0,15,151,224,299,353,882,13373,52706,90713,124630
,Burundi,0,0,2,11,63,170,387,445,508,585,688,818
,Cabo Verde,0,0,6,121,435,1227,2451,3884,6024,8793,10761,11840
,Cambodia,1,1,109,122,125,141,239,274,277,291,326,378
,Cameroon,0,0,193,1832,5904,12592,17255,19142,20838,21793,24445,26277
,Canada,4,20,8527,54457,92479,106097,118281,130918,161107,237313,381557,584409
Alberta,Canada,0,0,690,5355,7010,8108,10843,13902,18062,27664,58177,100428
