Year	Province	What kind of rates	rates in % 
2020-01	Canada	Unemployment rate	5.7
2020-01	Newfoundland and Labrador	Unemployment rate	11.7
2020-01	"St. John's, Newfoundland and Labrador"	Unemployment rate	7.4
2020-01	Prince Edward Island	Unemployment rate	7.7
2020-01	Nova Scotia	Unemployment rate	7.7
2020-01	"Halifax, Nova Scotia"	Unemployment rate	6.4
2020-01	New Brunswick	Unemployment rate	7.6
2020-01	"Moncton, New Brunswick"	Unemployment rate	5.1
2020-01	"Saint John, New Brunswick"	Unemployment rate	7.4
2020-01	Quebec	Unemployment rate	5.3
2020-01	"Saguenay, Quebec"	Unemployment rate	6.1
2020-01	"Québec, Quebec"	Unemployment rate	4.1
2020-01	"Sherbrooke, Quebec"	Unemployment rate	4.6
2020-01	"Trois-Rivières, Quebec"	Unemployment rate	5.3
2020-01	"Montréal, Quebec"	Unemployment rate	6
2020-01	Ontario	Unemployment rate	5.4
2020-01	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	4.3
2020-01	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	4.8
2020-01	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	4.2
2020-01	"Kingston, Ontario"	Unemployment rate	5.7
2020-01	"Peterborough, Ontario"	Unemployment rate	7.6
2020-01	"Oshawa, Ontario"	Unemployment rate	6.7
2020-01	"Toronto, Ontario"	Unemployment rate	5.5
2020-01	"Hamilton, Ontario"	Unemployment rate	4.8
2020-01	"St. Catharines-Niagara, Ontario"	Unemployment rate	5.2
2020-01	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	5.4
2020-01	"Brantford, Ontario"	Unemployment rate	4.3
2020-01	"Guelph, Ontario"	Unemployment rate	5
2020-01	"London, Ontario"	Unemployment rate	5
2020-01	"Windsor, Ontario"	Unemployment rate	8.3
2020-01	"Barrie, Ontario"	Unemployment rate	5
2020-01	"Greater Sudbury, Ontario"	Unemployment rate	5
2020-01	"Thunder Bay, Ontario"	Unemployment rate	5.1
2020-01	Manitoba	Unemployment rate	5.2
2020-01	"Winnipeg, Manitoba"	Unemployment rate	5.2
2020-01	Saskatchewan	Unemployment rate	5.9
2020-01	"Regina, Saskatchewan"	Unemployment rate	6.7
2020-01	"Saskatoon, Saskatchewan"	Unemployment rate	5.8
2020-01	Alberta	Unemployment rate	7.2
2020-01	"Calgary, Alberta"	Unemployment rate	7.2
2020-01	"Edmonton, Alberta"	Unemployment rate	8.2
2020-01	British Columbia	Unemployment rate	4.8
2020-01	"Kelowna, British Columbia"	Unemployment rate	4.2
2020-01	"Abbotsford-Mission, British Columbia"	Unemployment rate	5
2020-01	"Vancouver, British Columbia"	Unemployment rate	4.5
2020-01	"Victoria, British Columbia"	Unemployment rate	3.5
2020-02	Canada	Unemployment rate	5.6
2020-02	Newfoundland and Labrador	Unemployment rate	11.9
2020-02	"St. John's, Newfoundland and Labrador"	Unemployment rate	8.1
2020-02	Prince Edward Island	Unemployment rate	7.8
2020-02	Nova Scotia	Unemployment rate	7.7
2020-02	"Halifax, Nova Scotia"	Unemployment rate	6.6
2020-02	New Brunswick	Unemployment rate	7.3
2020-02	"Moncton, New Brunswick"	Unemployment rate	5.3
2020-02	"Saint John, New Brunswick"	Unemployment rate	7
2020-02	Quebec	Unemployment rate	4.9
2020-02	"Saguenay, Quebec"	Unemployment rate	5.9
2020-02	"Québec, Quebec"	Unemployment rate	4.1
2020-02	"Sherbrooke, Quebec"	Unemployment rate	4.5
2020-02	"Trois-Rivières, Quebec"	Unemployment rate	4.7
2020-02	"Montréal, Quebec"	Unemployment rate	5.5
2020-02	Ontario	Unemployment rate	5.3
2020-02	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	4.3
2020-02	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	4.7
2020-02	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	4.2
2020-02	"Kingston, Ontario"	Unemployment rate	5.2
2020-02	"Peterborough, Ontario"	Unemployment rate	6.6
2020-02	"Oshawa, Ontario"	Unemployment rate	7
2020-02	"Toronto, Ontario"	Unemployment rate	5.4
2020-02	"Hamilton, Ontario"	Unemployment rate	4.9
2020-02	"St. Catharines-Niagara, Ontario"	Unemployment rate	5.5
2020-02	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	5.5
2020-02	"Brantford, Ontario"	Unemployment rate	4.7
2020-02	"Guelph, Ontario"	Unemployment rate	5.1
2020-02	"London, Ontario"	Unemployment rate	4.9
2020-02	"Windsor, Ontario"	Unemployment rate	8.3
2020-02	"Barrie, Ontario"	Unemployment rate	4.3
2020-02	"Greater Sudbury, Ontario"	Unemployment rate	5.3
2020-02	"Thunder Bay, Ontario"	Unemployment rate	5.3
2020-02	Manitoba	Unemployment rate	5.1
2020-02	"Winnipeg, Manitoba"	Unemployment rate	4.9
2020-02	Saskatchewan	Unemployment rate	6
2020-02	"Regina, Saskatchewan"	Unemployment rate	6.6
2020-02	"Saskatoon, Saskatchewan"	Unemployment rate	6.5
2020-02	Alberta	Unemployment rate	7.2
2020-02	"Calgary, Alberta"	Unemployment rate	7.4
2020-02	"Edmonton, Alberta"	Unemployment rate	7.8
2020-02	British Columbia	Unemployment rate	4.8
2020-02	"Kelowna, British Columbia"	Unemployment rate	5.3
2020-02	"Abbotsford-Mission, British Columbia"	Unemployment rate	4.7
2020-02	"Vancouver, British Columbia"	Unemployment rate	4.4
2020-02	"Victoria, British Columbia"	Unemployment rate	3.4
2020-03	Canada	Unemployment rate	6.3
2020-03	Newfoundland and Labrador	Unemployment rate	11.8
2020-03	"St. John's, Newfoundland and Labrador"	Unemployment rate	8.3
2020-03	Prince Edward Island	Unemployment rate	8.1
2020-03	Nova Scotia	Unemployment rate	8
2020-03	"Halifax, Nova Scotia"	Unemployment rate	6.8
2020-03	New Brunswick	Unemployment rate	7.7
2020-03	"Moncton, New Brunswick"	Unemployment rate	5.7
